id,banner,title,text,link,category,pickup
1,img_maou.png,ソシャゲプランナー時代,"動画
ソシャゲプランナー時代の業務内容紹介コンテンツ",1/,career,FALSE
2,img_diary.png,一行日記,"PHP
CRUDの基礎を学ぶためのインターン作品（学生作品）",test/,web,FALSE
3,img_system.png,I社様予約システム,"Laravel/Vue.js
予約システムのGUI実装を担当",3/,work,FALSE
4,img_failure.png,フロントエンド時代,"note記事（外部リンク）
専門学校卒業後、紆余曲折あった黒歴史を正直に語ります",https://note.com/leveldrain/n/n0f6b64ac8a9b,career,TRUE
5,img_pokemon.png,ポ〇モンバトル,"JavaScript
初めてJavaScriptを触ったときの作品（学生作品）",test/,web,FALSE
6,img_nanzenji.png,南禅寺PV,"動画
京都南禅寺のPV。動画作成のみ（学生作品）",6/,art,FALSE
7,img_colombo.png,工房コロンボ様ホームページ,"WordPress / レタッチ / ライティング
工房コロンボ様コーポレートサイトの企画、デザインとレタッチ",7/,work,FALSE
8,img_matsumoto.png,M様ランディングページ,"HTML/CSS
フルスクラッチで講習会のランディングページを制作",8/,work,FALSE
9,img_portfolio1.png,学生時代ポートフォリオ,"HTML/CSS/JavaScript
化け猫の自作イラストが特徴的な2年前のポートフォリオ（学生作品）",test/,web,TRUE
10,img_portfolio2.png,水準研究所,"Vue.js/Pixi.js
Vue.jsの実力を試すために制作したポートフォリオ",test/,web,TRUE
11,img_juku.png,M塾様ホームページ,"HTML/CSS/jQuery
フルスクラッチで塾のコーポレートサイトを制作",11/,work,TRUE
12,img_rosemary.png,ローズマリー様ホームページ,"JIMDO / Webデザイン・看板デザイン
音楽教室のコーポレートサイトの企画、各種デザイン、内部コード修正、SEO",12/,work,TRUE
13,img_mizunomori.png,水生植物公園みずの森PV,"動画
取材から動画制作まで一貫して経験した施設紹介（学生作品）",test/,art,TRUE
14,img_fatman.png,おデブさんのダイエット法,"動画
blender/Makehuman/Premierによる3DCG動画制作（学生作品）",test/,art,TRUE
15,img_ue4.png,UnrealEngine4制作サンプル,"動画
UE4/Premierによる3DCG動画制作。UE4ぷちコン応募（学生作品）",test/,art,TRUE
16,img_threejs.png,魔法生成サイト「ジオストーム」,"Three.js
インタラクションデザイナーを目指すきっかけとなった（学生作品）",test/,web,TRUE
17,img_portfolio4.png,到龍門 - The road of Front End,"HTML/CSS/JavaScript（ビルド：babel）/Three.js/jQuery
アニメーション、デザイン、flocssの導入など、現在のスキルレベルを分かるよう構成された最新のポートフォリオ",test/,web,TRUE
18,img_maede.png,前田デザイン室活動,"デザイン・イラストなど
前田デザイン室でアーティストとして活動した成果物",test/,art,FALSE
